Date,Year,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI Inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB Corporate Yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index,House Price Index,Commercial Real Estate Price Index,Market Volatility Index (VIX)
Q1,2001,-1.1,1.4,3.5,6.3,4.2,3.9,4.8,4.9,5.3,7.4,7,8.6,10645.9,112.4,140.8,32.8
Q2,2001,2.1,5,-0.3,1.6,4.4,2.8,3.7,4.9,5.5,7.5,7.1,7.3,11407.2,114.5,140,34.7
Q3,2001,-1.2,0.1,9.8,10.1,4.8,1.1,3.2,4.6,5.3,7.3,7,6.6,9563,116.7,143.7,43.7
Q4,2001,1,2.2,-4.9,-4.6,5.5,-0.3,1.9,4.2,5.1,7.2,6.8,5.2,10707.7,119.1,137.9,35.3
Q1,2002,3.8,5.1,10.1,10.9,5.7,1.3,1.7,4.5,5.4,7.6,7,4.8,10775.7,121.3,139.7,26.1
Q2,2002,2.2,3.8,2,5.2,5.8,3.2,1.7,4.5,5.4,7.6,6.8,4.8,9384,124.3,137.4,28.4
Q3,2002,1.9,3.8,-0.5,1.5,5.7,2.2,1.6,3.4,4.5,7.3,6.3,4.8,7773.6,127.8,140.9,45.1
Q4,2002,0.2,2.4,1.9,3.8,5.9,2.4,1.3,3.1,4.3,7,6.1,4.5,8343.2,130.4,144.2,42.6
Q1,2003,2,4.6,1.2,4.1,5.9,4.2,1.2,2.9,4.2,6.5,5.8,4.3,8051.9,133.3,148.7,34.7
Q2,2003,3.8,5.1,5.9,6.3,6.1,-0.7,1,2.6,3.8,5.7,5.5,4.2,9342.4,136,151.2,29.1
Q3,2003,6.9,9.4,6.7,9.3,6.1,3,0.9,3.1,4.4,6,6,4,9649.7,139.7,152.2,22.7
Q4,2003,4.6,6.7,1.6,3.3,5.8,1.5,0.9,3.2,4.4,5.8,5.9,4,10799.6,144.3,150.1,21.1
Q1,2004,2.4,6,2.9,6.1,5.7,3.4,0.9,3,4.1,5.5,5.6,4,11039.4,149.9,155.8,21.6
Q2,2004,3.1,6.6,4,7,5.6,3.2,1.1,3.7,4.7,6.1,6.2,4,11144.6,156.2,162.6,20
Q3,2004,3.6,6.2,2.1,4.5,5.4,2.6,1.5,3.5,4.4,5.8,5.9,4.4,10893.8,161.9,173.9,19.3
Q4,2004,3.4,6.4,5.1,8.4,5.4,4.4,2,3.5,4.3,5.4,5.7,4.9,11951.5,167.5,178.4,16.6
Q1,2005,4.4,8.3,-3.8,-1.8,5.3,2,2.5,3.9,4.4,5.4,5.8,5.4,11637.3,175.7,179.6,14.6
Q2,2005,2.2,5.1,3.2,6,5.1,2.7,2.9,3.9,4.2,5.5,5.7,5.9,11856.7,183.3,186.5,17.7
Q3,2005,3.3,7.3,2.1,6.6,5,6.2,3.4,4,4.3,5.5,5.8,6.4,12282.9,189.5,190.8,14.2
Q4,2005,2.2,5.5,3.3,6.6,5,3.8,3.8,4.4,4.6,5.9,6.2,7,12497.2,194.4,199.6,16.5
Q1,2006,4.9,8.2,9.5,11.5,4.7,2.1,4.4,4.6,4.7,6,6.2,7.4,13121.6,198.9,203,14.6
Q2,2006,1.3,4.6,0.6,3.7,4.6,3.7,4.7,5,5.2,6.5,6.6,7.9,12808.9,199,211.9,23.8
Q3,2006,0.4,3.2,1.2,4.1,4.6,3.8,4.9,4.8,5,6.4,6.6,8.3,13322.5,196.9,224.2,18.6
Q4,2006,3.2,4.6,5.3,4.6,4.4,-1.6,4.9,4.6,4.7,6.1,6.2,8.3,14215.8,197.3,221.1,12.7
Q1,2007,0.3,4.8,2.7,6.5,4.5,4,5,4.6,4.8,6.1,6.2,8.3,14354,195.6,233.3,19.6
Q2,2007,3.1,5.4,0.8,4,4.5,4.6,4.7,4.7,4.9,6.3,6.4,8.3,15163.1,191.3,241.5,18.9
Q3,2007,2.7,4.1,1,3.3,4.7,2.6,4.3,4.5,4.8,6.5,6.6,8.2,15317.8,185.9,257.8,30.8
Q4,2007,1.5,3.3,0.3,4.4,4.8,5,3.4,3.8,4.4,6.4,6.2,7.5,14753.6,180.2,260.2,31.1
Q1,2008,-2.7,-0.5,2.9,6.5,5,4.4,2.1,2.8,3.9,6.5,5.9,6.2,13284.1,174.1,253.6,32.2
Q2,2008,2,4,8.7,13.3,5.3,5.3,1.6,3.2,4.1,6.8,6.1,5.1,13016.4,166.3,242.1,24.1
Q3,2008,-2,0.7,-8.8,-5,6,6.3,1.5,3.1,4.1,7.2,6.3,5,11826,159.6,246.8,46.7
Q4,2008,-8.3,-7.8,2.5,-3.2,6.9,-8.9,0.3,2.2,3.7,9.4,5.8,4.1,9056.7,152,231.9,80.9
Q1,2009,-5.4,-4.5,-1.4,-3.6,8.3,-2.6,0.2,1.9,3.2,9,5.1,3.3,8044.2,144.3,211.2,56.7
Q2,2009,-0.4,-1.1,3,4.9,9.3,2,0.2,2.3,3.7,8.2,5,3.3,9342.8,142.3,175.4,42.3
Q3,2009,1.3,1.2,-4,-1.6,9.6,3.5,0.2,2.5,3.8,6.8,5.1,3.3,10812.8,143.8,158.7,31.3
Q4,2009,3.9,5.1,-0.1,2.6,9.9,3.1,0.1,2.3,3.7,6.1,4.9,3.3,11385.1,144.6,158,30.7
Q1,2010,1.6,3,0.3,1.7,9.8,0.7,0.1,2.4,3.9,5.8,5,3.3,12032.5,145.3,153.2,27.3
Q2,2010,3.9,5.8,5.3,5.8,9.6,-0.2,0.1,2.3,3.6,5.6,4.9,3.3,10645.8,145.3,168.8,45.8
Q3,2010,2.8,4.7,1.9,3.1,9.5,1.4,0.2,1.6,2.9,5.1,4.4,3.3,11814,142.3,171.1,32.9
Q4,2010,2.8,4.9,2.6,4.8,9.5,3,0.1,1.5,3,5,4.4,3.3,13131.5,140.2,177.8,23.5
Q1,2011,-1.3,0.3,5,8.2,9,4.4,0.1,2.1,3.5,5.4,4.8,3.3,13908.5,138.9,184.8,29.4
Q2,2011,3.2,5.9,-0.4,3.3,9,4.7,0,1.8,3.3,5.1,4.7,3.3,13843.5,137.5,181.8,22.7
Q3,2011,1.4,3.9,1.6,3.9,9,2.9,0,1.1,2.5,4.9,4.3,3.3,11676.5,137.2,182,48
Q4,2011,4.9,5.4,-0.6,0.8,8.7,1.4,0,1,2.1,5,4,3.3,13019.3,136.3,195.2,45.5
Q1,2012,3.7,5.8,4.6,6.9,8.3,2.3,0.1,0.9,2.1,4.7,3.9,3.3,14627.5,138.5,193.5,23
Q2,2012,1.2,3,1.8,2.9,8.2,1,0.1,0.8,1.8,4.5,3.8,3.3,14100.2,141.4,193.7,26.7
Q3,2012,2.8,4.9,-0.6,1.1,8,2.1,0.1,0.7,1.6,4.2,3.6,3.3,14894.7,143.9,201.1,20.5
Q4,2012,0.1,1.6,9,10.7,7.8,2.2,0.1,0.7,1.7,3.9,3.4,3.3,14834.9,146.8,203.2,22.7
Q1,2013,1.1,2.8,-7.9,-7,7.7,1.4,0.1,0.8,1.9,4,3.5,3.3,16396.2,152.6,205.4,19
Q2,2013,2.5,3.1,3.5,3.4,7.6,0,0.1,0.9,2,4.1,3.7,3.3,16771.3,157.8,214.3,20.5
Q3,2013,2,4.7,1.7,4.3,7.3,2.3,0,1.5,2.7,4.9,4.4,3.3,17718.3,158.8,217,17
Q4,2013,2.4,3.8,2.4,3.8,7.3,1.7,0.1,2.5,2.8,5,4.5,3.2,17169.2,159.7,219.7,19
Q1,2014,2.6,4.7,2.6,4.2,7.1,1.9,0.1,2,2.9,4.9,4.6,3.2,17386.8,160.7,222.4,17
